query_id,verified_count,failed_count,error_count,total_count,verified_queries,failed_queries,error_queries,selected_query,query_elapsed_time
multi_block_queries_query030_0,1,0,28,29,21,,1;2;4;3;6;5;8;10;13;14;11;15;7;16;12;17;22;18;20;23;28;27;26;29;25;30;19;24,21,21:0.16153740882873535
multi_block_queries_query094_0,11,10,10,31,20;5;19;11;8;7;9;3;15;6;21,2;1;4;14;10;13;18;17;16;12,31;26;29;24;27;25;28;30;23;22,15,20:0.0693047046661377;5:1.253824234008789;19:0.9966573715209961;11:0.9938843250274658;8:0.08336782455444336;7:0.07134151458740234;9:0.07176041603088379;3:2.411583185195923;15:0.06769967079162598;6:0.06989932060241699;21:0.07084155082702637
spj_queries_query100_0,4,16,10,30,2;10;21;13,3;1;4;7;6;5;9;11;12;8;14;17;15;16;20;19,29;28;27;25;24;26;22;31;23;30,13,2:0.2816338539123535;10:0.2986633777618408;21:0.30802416801452637;13:0.27197718620300293
spj_queries_query101_0,1,9,18,28,19,2;9;7;12;14;16;13;17;20,1;5;3;6;8;15;11;18;25;24;28;29;26;22;31;23;27;30,19,19:0.040198564529418945
agg_queries_query101_0,18,0,9,27,1;2;4;6;11;7;9;8;10;15;16;17;18;13;19;21;20;5,,14;31;28;25;22;24;27;30;23,7,1:0.037960052490234375;2:0.06374979019165039;4:0.08170461654663086;6:0.035530805587768555;11:0.037367820739746094;7:0.03283572196960449;9:0.06387567520141602;8:0.03573203086853027;10:0.03641462326049805;15:0.035024166107177734;16:0.03837895393371582;17:0.034775733947753906;18:0.5438027381896973;13:0.033068180084228516;19:0.03949165344238281;21:0.053783416748046875;20:0.038823843002319336;5:0.0634763240814209
spj_queries_query018_0,3,16,11,30,2;21;17,4;3;1;16;19;20;18;8;6;12;11;9;14;7;15;13,29;27;23;24;25;28;26;22;31;30;10,21,2:0.14584136009216309;21:0.12655067443847656;17:0.12684369087219238
agg_queries_query018_0,9,12,10,31,2;4;1;3;6;15;16;13;21,5;7;17;9;11;8;10;12;14;20;19;18,28;29;31;26;27;30;22;24;25;23,4,2:0.1751861572265625;4:0.12367510795593262;1:0.15998482704162598;3:0.13926434516906738;6:0.15290164947509766;15:0.18741631507873535;16:0.1595010757446289;13:0.14879727363586426;21:0.12652873992919922
spj_queries_query099_0,1,18,11,30,21,1;4;2;5;7;11;3;8;10;9;17;13;14;12;15;19;16;18,6;24;23;25;22;26;27;30;31;29;28,21,21:0.02508234977722168
agg_queries_query099_0,2,14,10,26,3;21,4;6;1;7;8;14;12;15;13;16;18;11;19;20,22;24;25;23;26;29;28;27;30;31,3,3:0.02410578727722168;21:0.02530527114868164
agg_queries_query102_0,21,0,10,31,2;12;4;9;1;6;13;10;8;14;15;7;3;5;19;11;17;20;21;18;16,,26;30;25;28;27;29;23;31;22;24,18,2:0.09324026107788086;12:0.38158655166625977;4:0.0739130973815918;9:0.07433938980102539;1:1.334359884262085;6:0.08118963241577148;13:0.43830323219299316;10:0.8781783580780029;8:0.4429004192352295;14:0.09328103065490723;15:0.18241524696350098;7:0.16666603088378906;3:0.10461163520812988;5:0.44439005851745605;19:0.18220210075378418;11:0.9552373886108398;17:0.07207202911376953;20:0.06804752349853516;21:0.14797353744506836;18:0.05742311477661133;16:0.09380221366882324
spj_queries_query102_0,1,14,15,30,21,9;6;3;17;4;10;13;8;5;18;14;1;16;20,11;2;15;30;23;29;26;19;24;12;22;31;28;27;25,21,21:0.09719324111938477
spj_queries_query019_0,2,17,9,28,6;21,3;7;4;8;5;11;1;9;16;17;13;15;14;20;19;2;12,24;25;23;28;27;26;30;29;31,21,6:0.0253908634185791;21:0.02424144744873047
multi_block_queries_query054_0,1,0,28,29,21,,2;4;6;1;5;3;8;11;9;10;12;16;23;14;17;24;22;27;25;31;28;20;19;29;15;26;18;30,21,21:0.05826544761657715
agg_queries_query019_0,2,17,8,27,11;21,4;2;9;10;6;5;1;7;13;14;18;12;17;16;15;19;20,22;23;27;26;24;25;29;30,21,11:0.025554895401000977;21:0.022999286651611328
agg_queries_query085_0,10,4,17,31,1;18;9;5;14;20;6;17;12;21,3;8;10;2,31;25;24;16;11;26;28;29;7;27;22;30;4;13;23;15;19,12,1:0.3918795585632324;18:0.37452006340026855;9:0.45642757415771484;5:0.35233545303344727;14:0.3641500473022461;20:0.37883520126342773;6:0.3868744373321533;17:0.3609659671783447;12:0.35006237030029297;21:0.35152530670166016
spj_queries_query085_0,4,5,19,28,6;10;21;19,1;4;14;15;18,2;3;5;8;7;9;13;26;22;25;23;20;24;28;29;27;31;30;17,10,6:0.35535383224487305;10:0.34040284156799316;21:0.38337063789367676;19:0.3930022716522217
multi_block_queries_query031_0,15,5,10,30,1;8;10;21;12;11;17;5;15;9;2;13;20;18;14,7;4;6;16;19,22;27;25;30;29;31;24;28;26;23,15,1:0.23445558547973633;8:0.20484137535095215;10:0.20299053192138672;21:0.1881577968597412;12:0.17890262603759766;11:0.22668886184692383;17:0.23195099830627441;5:1.0774574279785156;15:0.1647021770477295;9:0.16756653785705566;2:0.21894454956054688;13:0.18010997772216797;20:0.20596599578857422;18:0.1712334156036377;14:0.18034648895263672
multi_block_queries_query065_0,13,7,10,30,5;3;1;4;7;2;9;13;14;11;17;16;19,8;6;18;12;20;10;15,22;29;25;26;23;30;28;27;24;31,3,5:0.026167869567871094;3:0.026102066040039062;1:0.0272674560546875;4:0.5811266899108887;7:0.6353354454040527;2:0.40751171112060547;9:0.7052652835845947;13:0.7118058204650879;14:0.04002118110656738;11:0.4158966541290283;17:0.03817248344421387;16:0.6235435009002686;19:0.9853639602661133
spj_queries_query027_0,1,13,15,29,21,8;6;9;17;11;13;16;1;2;4;19;18;20,14;15;3;5;12;23;25;22;30;27;31;26;28;24;29,21,21:0.050383806228637695
agg_queries_query027_0,17,2,11,30,12;19;11;20;14;21;18;15;13;16;1;6;3;2;8;5;4,10;9,22;23;27;26;30;29;25;24;28;31;7,6,12:0.03168916702270508;19:0.04184699058532715;11:0.051572322845458984;20:0.07134675979614258;14:0.042525291442871094;21:0.04500889778137207;18:0.03667163848876953;15:0.05263209342956543;13:0.04328179359436035;16:0.05233359336853027;1:0.04314446449279785;6:0.03145289421081543;3:0.620980978012085;2:0.0428466796875;8:0.054877281188964844;5:0.05246925354003906;4:0.05417037010192871
agg_queries_query025_0,19,2,9,30,3;6;4;2;5;8;9;10;7;11;17;18;14;21;19;13;16;15;20,1;12,23;25;26;27;28;24;30;31;29,8,3:0.04113507270812988;6:0.03417062759399414;4:0.038838863372802734;2:0.3046729564666748;5:0.044104814529418945;8:0.028577566146850586;9:0.03214120864868164;10:0.03043651580810547;7:0.08387494087219238;11:0.031777143478393555;17:0.031853437423706055;18:0.03706789016723633;14:0.0381317138671875;21:0.030187129974365234;19:0.03875875473022461;13:0.24876165390014648;16:0.20806503295898438;15:0.09709668159484863;20:0.03407096862792969
spj_queries_query025_0,4,12,10,26,7;18;21;14,3;2;4;6;1;10;12;11;8;17;20;19,5;22;23;26;30;25;29;28;27;31,18,7:0.03667712211608887;18:0.03495073318481445;21:0.036826133728027344;14:0.0465850830078125
multi_block_queries_query059_0,1,19,9,29,21,1;2;3;5;4;11;10;13;14;15;16;17;18;19;20;8;6;7;12,23;25;28;24;27;29;26;31;22,21,21:2.1963350772857666
multi_block_queries_query064_0,6,2,21,29,1;3;11;5;21;18,6;14,10;12;13;15;20;19;8;4;17;9;29;27;23;28;30;26;25;16;24;31;22,18,1:0.9066727161407471;3:0.9407238960266113;11:0.8765642642974854;5:1.0083327293395996;21:0.9490766525268555;18:0.762885570526123
spj_queries_query040_0,5,16,9,30,13;11;19;20;21,6;2;1;3;4;12;7;5;8;10;9;15;14;17;16;18,22;27;25;26;28;30;31;24;29,20,13:0.20603251457214355;11:0.20612525939941406;19:0.22008609771728516;20:0.2045121192932129;21:0.29535937309265137
agg_queries_query040_0,2,17,9,28,5;17,1;3;7;4;8;2;6;11;10;12;9;14;16;13;18;20;15,29;27;26;24;30;25;22;23;31,5,5:0.23908424377441406;17:0.241685152053833
multi_block_queries_query092_0,18,1,9,28,5;1;3;6;2;4;8;9;7;14;15;12;10;13;16;19;21;20,11,23;22;26;28;31;24;29;25;30,12,5:0.04121279716491699;1:0.04248476028442383;3:0.04538846015930176;6:0.04253339767456055;2:0.04098153114318848;4:0.04312920570373535;8:0.04323315620422363;9:0.04256415367126465;7:0.041562795639038086;14:0.06012582778930664;15:0.04575943946838379;12:0.04053378105163574;10:0.04075908660888672;13:0.045769691467285156;16:0.044541120529174805;19:0.04358935356140137;21:0.2768881320953369;20:0.07385635375976562
spj_queries_query072_0,1,17,9,27,21,11;2;19;15;3;10;13;6;7;9;18;17;20;14;16;12;8,28;22;27;23;24;29;26;30;25,21,21:0.4399857521057129
agg_queries_query072_0,15,2,14,31,14;6;21;17;2;7;12;19;18;4;11;8;9;20;1,13;3,30;29;5;28;10;31;25;23;27;15;24;22;16;26,7,14:0.5163114070892334;6:1.0896968841552734;21:0.5741631984710693;17:0.5660049915313721;2:2.069430112838745;7:0.5000636577606201;12:1.906996488571167;19:1.3338854312896729;18:0.551457405090332;4:0.6138832569122314;11:0.5973858833312988;8:2.176438331604004;9:2.03121280670166;20:61.45095610618591;1:61.50425386428833
multi_block_queries_query087_0,8,10,12,30,5;7;6;14;13;15;17;21,2;3;4;1;9;10;8;12;16;18,19;22;20;11;25;23;24;28;27;30;29;31,15,5:0.3423342704772949;7:0.27303099632263184;6:0.23473644256591797;14:0.2468099594116211;13:0.24251604080200195;15:0.22229766845703125;17:0.264725923538208;21:0.24274945259094238
multi_block_queries_query039_0,9,9,10,28,6;7;16;18;12;10;13;19;21,2;1;5;8;14;15;11;20;17,22;23;24;25;30;26;28;27;31;29,13,6:0.10088634490966797;7:0.12881851196289062;16:0.09740996360778809;18:0.10676312446594238;12:0.09910130500793457;10:0.42827415466308594;13:0.09173774719238281;19:0.4735071659088135;21:0.5298759937286377
multi_block_queries_query075_0,1,20,10,31,21,1;8;7;12;2;5;4;18;15;10;17;13;19;14;3;16;11;20;9;6,30;27;31;24;29;25;22;23;28;26,21,21:1.5839576721191406
