query_id,verified_count,failed_count,error_count,total_count,verified_queries,failed_queries,error_queries,selected_query,query_elapsed_time
query12,21,0,0,21,2;3;6;8;7;9;11;15;16;19;14;17;13;12;20;5;1;4;10;18;21,,,19,2:1.9748563766479492;3:2.7945940494537354;6:1.904123306274414;8:1.896265983581543;7:2.2487330436706543;9:1.909745693206787;11:2.657231092453003;15:2.0370640754699707;16:2.0167417526245117;19:1.8597075939178467;14:2.817262649536133;17:2.3782665729522705;13:5.703014850616455;12:5.765639543533325;20:5.299679756164551;5:10.674397706985474;1:11.61552882194519;4:11.795866966247559;10:11.147956848144531;18:11.508707523345947;21:11.52210283279419
query1,20,0,1,21,4;2;5;9;1;7;15;18;3;16;11;14;12;21;6;13;19;20;10;17,,8,4,4:10.583747386932373;2:10.729811668395996;5:10.941974401473999;9:12.928365707397461;1:15.082406759262085;7:14.804208040237427;15:17.719829320907593;18:23.592289686203003;3:49.401278495788574;16:51.166905879974365;11:52.695231676101685;14:51.97101902961731;12:54.773993253707886;21:51.42013907432556;6:58.68303966522217;13:57.80946397781372;19:55.955363035202026;20:55.47003722190857;10:61.5282027721405;17:61.272944688797
query14,21,0,0,21,1;2;4;3;5;6;7;8;10;11;12;9;16;17;15;18;13;21;20;14;19,,,16,1:1.6023755073547363;2:2.0327298641204834;4:1.2862098217010498;3:1.7530243396759033;5:1.9102146625518799;6:1.5922861099243164;7:1.8116166591644287;8:1.3030686378479004;10:0.5965697765350342;11:0.5964345932006836;12:0.6018917560577393;9:1.1889057159423828;16:0.5627954006195068;17:0.5906033515930176;15:0.6491496562957764;18:0.6710782051086426;13:1.4187445640563965;21:0.5760114192962646;20:0.8787920475006104;14:1.638273000717163;19:1.7459421157836914
query4,21,0,0,21,1;2;4;6;9;8;10;12;15;16;17;20;21;3;14;7;18;5;13;19;11,,,9,1:0.6875135898590088;2:0.7252762317657471;4:0.660524845123291;6:0.6763839721679688;9:0.5818028450012207;8:0.7481973171234131;10:0.6482300758361816;12:0.6670501232147217;15:0.652907133102417;16:0.6944823265075684;17:0.715660572052002;20:0.6084859371185303;21:0.6622474193572998;3:12.95115065574646;14:11.701593399047852;7:13.31237530708313;18:11.85797119140625;5:14.916550159454346;13:17.411635875701904;19:16.931533575057983;11:19.430025339126587
query3,21,0,0,21,1;2;3;4;5;6;8;9;11;10;12;13;15;16;17;19;21;20;7;14;18,,,5,1:1.6259498596191406;2:1.9221091270446777;3:1.9419207572937012;4:1.7787909507751465;5:1.4746503829956055;6:2.009552001953125;8:2.0304722785949707;9:1.8249950408935547;11:1.6761305332183838;10:2.1310040950775146;12:1.8023715019226074;13:2.0609564781188965;15:1.798781156539917;16:1.8559682369232178;17:2.169879913330078;19:2.0890705585479736;21:2.0162336826324463;20:11.426475524902344;7:27.24188494682312;14:25.705183744430542;18:25.802479028701782
query10,21,0,0,21,2;4;5;6;7;8;9;12;10;13;14;15;16;17;21;20;1;11;3;18;19,,,12,2:1.4261205196380615;4:1.531752347946167;5:1.548332929611206;6:1.4747107028961182;7:1.5808558464050293;8:1.686033010482788;9:1.392279863357544;12:1.1299622058868408;10:1.5335822105407715;13:1.4021108150482178;14:1.6683204174041748;15:1.5021274089813232;16:1.4794495105743408;17:1.6034812927246094;21:1.560882329940796;20:1.8954250812530518;1:18.119222402572632;11:18.415893077850342;3:20.332707405090332;18:21.62121319770813;19:21.920074939727783
query19,21,0,0,21,1;2;3;4;5;6;7;8;9;11;10;12;15;14;13;17;18;20;16;19;21,,,6,1:0.25438690185546875;2:0.2782764434814453;3:0.297027587890625;4:0.2729184627532959;5:0.25354480743408203;6:0.18883466720581055;7:0.2867550849914551;8:0.2702939510345459;9:0.24477577209472656;11:0.25311994552612305;10:0.29369425773620605;12:0.2663271427154541;15:0.23555660247802734;14:0.28375959396362305;13:0.37523961067199707;17:0.25211453437805176;18:0.24637770652770996;20:0.2067701816558838;16:0.41509270668029785;19:0.25989580154418945;21:0.2897512912750244
query18,21,0,0,21,4;6;5;1;9;7;8;3;10;11;2;12;13;14;15;17;18;21;19;20;16,,,21,4:20.00543522834778;6:20.696117162704468;5:21.11286211013794;1:21.46417784690857;9:21.43201470375061;7:21.698558568954468;8:22.023706912994385;3:22.82861614227295;10:21.264090299606323;11:20.71708869934082;2:31.905241012573242;12:20.093163013458252;13:20.00540065765381;14:19.335358142852783;15:20.08302092552185;17:18.51522922515869;18:17.569143533706665;21:15.881447076797485;19:16.632072925567627;20:16.505797863006592;16:34.56688904762268
query8,21,0,0,21,2;3;4;5;6;7;9;11;8;12;10;13;14;15;17;18;16;20;21;19;1,,,9,2:1.003730297088623;3:0.9113123416900635;4:1.0594139099121094;5:1.0170974731445312;6:0.9180989265441895;7:1.0054247379302979;9:0.8907825946807861;11:1.0547235012054443;8:1.4032795429229736;12:0.9844591617584229;10:1.2968742847442627;13:0.9566295146942139;14:0.9648194313049316;15:0.99015212059021;17:0.9745755195617676;18:0.9402799606323242;16:1.4300732612609863;20:0.9565000534057617;21:1.360302209854126;19:1.4840424060821533;1:5.8500075340271
query5,21,0,0,21,3;4;2;5;6;9;11;13;7;15;14;17;1;20;21;19;18;8;10;12;16,,,11,3:1.7786061763763428;4:1.7304084300994873;2:1.9927160739898682;5:1.8490605354309082;6:2.0031919479370117;9:2.0061910152435303;11:1.6242446899414062;13:1.783015489578247;7:3.000309467315674;15:1.713616132736206;14:1.9480254650115967;17:1.741698980331421;1:4.320629835128784;20:1.683384895324707;21:1.7403733730316162;19:1.9403119087219238;18:2.9786336421966553;8:5.274214744567871;10:5.18668007850647;12:5.095443487167358;16:4.9914655685424805
query7,21,0,0,21,2;3;6;8;10;11;12;5;1;16;15;19;7;13;4;14;18;9;17;20;21,,,19,2:2.1388089656829834;3:2.1304681301116943;6:2.2988505363464355;8:2.2692856788635254;10:2.2241549491882324;11:2.176600933074951;12:2.197051525115967;5:3.2440359592437744;1:4.634707450866699;16:2.029878854751587;15:2.0462453365325928;19:1.97868013381958;7:4.728178262710571;13:4.5588061809539795;4:5.794895887374878;14:3.977938175201416;18:3.7619950771331787;9:5.5314836502075195;17:4.2363128662109375;20:3.9426136016845703;21:4.317257404327393
query17,21,0,0,21,1;5;7;6;8;12;14;17;18;11;20;3;4;9;19;15;13;21;16;2;10,,,1,1:0.18047809600830078;5:0.25502681732177734;7:0.19116568565368652;6:0.256009578704834;8:0.18659591674804688;12:0.18977880477905273;14:0.2183520793914795;17:0.2632157802581787;18:0.2582218647003174;11:1.2091519832611084;20:0.26453661918640137;3:1.989502191543579;4:4.691763639450073;9:4.486105918884277;19:3.5413119792938232;15:3.933030366897583;13:4.074654817581177;21:3.6278223991394043;16:4.36071515083313;2:11.161792039871216;10:11.970880031585693
